,Kenya,"China, Taiwan Province of",Belarus,Croatia,Syrian Arab Republic,United Republic of Tanzania,Nepal,Denmark,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Norway,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Uzbekistan,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Portugal,Poland,"China, mainland",Russian Federation,Italy,India,Luxembourg,Bolivia (Plurinational State of),Peru,Serbia and Montenegro,Cameroon,Serbia,Tajikistan,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,Germany,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Turkmenistan,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Slovakia,Swaziland,Republic of Moldova,Turkey
1961,-1.0,84713.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,-1.0,314389.0,-1.0,-1.0,-1.0,69829.0,-1.0,30000.0,-1.0,41667.0,-1.0,-1.0,132222.0,-1.0,236364.0,-1.0,-1.0,-1.0,40079.0,-1.0,66893.0,-1.0,-1.0,-1.0,45455.0,-1.0,-1.0,73333.0,-1.0,-1.0,-1.0,-1.0,165036.0,-1.0,66667.0,-1.0,74250.0,36667.0,-1.0,62500.0,76923.0,-1.0,-1.0,-1.0,-1.0,-1.0,137166.0,54621.0,57439.0,69676.0,-1.0,18836.0,246087.0,110103.0,144065.0,91816.0,42222.0,190000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21338.0,90596.0,-1.0,32554.0,31000.0,26250.0,-1.0,-1.0,88563.0,47220.0,66319.0,-1.0,-1.0,306250.0,-1.0,-1.0,-1.0,52909.0
1962,-1.0,83341.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,-1.0,293622.0,-1.0,-1.0,-1.0,70348.0,-1.0,29730.0,-1.0,41667.0,-1.0,-1.0,154444.0,-1.0,240876.0,-1.0,-1.0,-1.0,56942.0,-1.0,57604.0,-1.0,-1.0,-1.0,54545.0,-1.0,-1.0,72414.0,-1.0,-1.0,-1.0,-1.0,74783.0,-1.0,57273.0,-1.0,68471.0,40625.0,-1.0,62500.0,76923.0,-1.0,-1.0,-1.0,-1.0,-1.0,126175.0,53617.0,48468.0,69676.0,-1.0,20300.0,205417.0,116267.0,71280.0,97608.0,42222.0,193214.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22414.0,93839.0,-1.0,19150.0,31000.0,24824.0,-1.0,-1.0,74444.0,44125.0,66319.0,-1.0,-1.0,150000.0,-1.0,-1.0,-1.0,49821.0
1963,-1.0,64218.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,258156.0,-1.0,-1.0,-1.0,73873.0,-1.0,30303.0,-1.0,41667.0,-1.0,-1.0,91111.0,-1.0,238095.0,-1.0,-1.0,-1.0,43140.0,-1.0,58189.0,-1.0,-1.0,-1.0,120000.0,-1.0,-1.0,76667.0,-1.0,-1.0,-1.0,-1.0,121600.0,-1.0,58088.0,-1.0,80192.0,40741.0,-1.0,62500.0,78947.0,-1.0,-1.0,-1.0,-1.0,-1.0,141400.0,53268.0,52366.0,69676.0,-1.0,21090.0,254583.0,148043.0,122733.0,84350.0,43333.0,197027.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28041.0,94333.0,-1.0,46066.0,28500.0,25200.0,-1.0,-1.0,87240.0,52868.0,67707.0,-1.0,-1.0,287500.0,-1.0,-1.0,-1.0,53621.0
1964,-1.0,82751.0,-1.0,-1.0,53000.0,-1.0,-1.0,-1.0,-1.0,273244.0,-1.0,-1.0,-1.0,79917.0,-1.0,30556.0,-1.0,42553.0,-1.0,-1.0,186667.0,-1.0,260870.0,-1.0,-1.0,-1.0,73564.0,-1.0,50522.0,-1.0,-1.0,-1.0,220000.0,-1.0,-1.0,76667.0,-1.0,-1.0,-1.0,-1.0,94583.0,-1.0,50000.0,-1.0,77134.0,40541.0,-1.0,62500.0,81250.0,-1.0,-1.0,-1.0,-1.0,-1.0,116845.0,53456.0,30094.0,80525.0,-1.0,27477.0,193421.0,166667.0,65778.0,108744.0,43333.0,188000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30467.0,94760.0,-1.0,50767.0,31300.0,24500.0,-1.0,-1.0,52777.0,53052.0,72369.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,54782.0
1965,-1.0,94554.0,-1.0,-1.0,41000.0,-1.0,-1.0,-1.0,-1.0,266800.0,-1.0,-1.0,-1.0,73513.0,-1.0,30437.0,-1.0,41935.0,-1.0,-1.0,107778.0,-1.0,270270.0,-1.0,-1.0,-1.0,77179.0,-1.0,51334.0,-1.0,-1.0,-1.0,214545.0,-1.0,-1.0,75700.0,-1.0,-1.0,-1.0,-1.0,89167.0,-1.0,50625.0,-1.0,101103.0,40000.0,-1.0,62500.0,85366.0,-1.0,-1.0,-1.0,-1.0,-1.0,99466.0,53196.0,31345.0,84440.0,-1.0,22910.0,203333.0,110938.0,78941.0,100165.0,43956.0,196875.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29018.0,109929.0,-1.0,36484.0,35000.0,24800.0,-1.0,-1.0,82107.0,64992.0,70116.0,-1.0,-1.0,125000.0,-1.0,-1.0,-1.0,50100.0
1966,-1.0,94161.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,285625.0,-1.0,-1.0,-1.0,77798.0,-1.0,31513.0,-1.0,41935.0,-1.0,-1.0,66923.0,-1.0,238889.0,-1.0,-1.0,-1.0,67982.0,-1.0,36075.0,-1.0,-1.0,-1.0,107806.0,-1.0,-1.0,76955.0,-1.0,-1.0,-1.0,-1.0,104000.0,-1.0,35333.0,-1.0,96552.0,40541.0,-1.0,62500.0,91954.0,-1.0,-1.0,-1.0,-1.0,-1.0,75031.0,53099.0,37090.0,85526.0,-1.0,28539.0,139545.0,116635.0,124904.0,76254.0,43956.0,95946.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28150.0,109056.0,-1.0,53825.0,31880.0,24000.0,-1.0,-1.0,53849.0,48986.0,74243.0,-1.0,-1.0,113333.0,-1.0,-1.0,-1.0,46630.0
1967,-1.0,92285.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,-1.0,308738.0,-1.0,-1.0,-1.0,67860.0,-1.0,30077.0,-1.0,42857.0,-1.0,-1.0,93077.0,-1.0,228571.0,-1.0,-1.0,-1.0,43857.0,-1.0,34845.0,-1.0,-1.0,-1.0,180164.0,-1.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,140000.0,-1.0,34091.0,-1.0,103358.0,40000.0,-1.0,62500.0,94328.0,-1.0,-1.0,-1.0,-1.0,-1.0,40351.0,53313.0,41905.0,92929.0,-1.0,33867.0,147447.0,103000.0,69179.0,89704.0,43956.0,116857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30121.0,107055.0,-1.0,55556.0,27917.0,25200.0,-1.0,-1.0,63982.0,56341.0,64565.0,-1.0,-1.0,58333.0,-1.0,-1.0,-1.0,57105.0
1968,-1.0,90954.0,-1.0,-1.0,25494.0,-1.0,-1.0,-1.0,-1.0,302950.0,-1.0,45722.0,-1.0,85011.0,-1.0,29355.0,-1.0,42857.0,-1.0,-1.0,105833.0,-1.0,263158.0,-1.0,-1.0,-1.0,23810.0,-1.0,30452.0,-1.0,-1.0,-1.0,284432.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,51078.0,-1.0,29600.0,-1.0,103385.0,40476.0,-1.0,62500.0,75623.0,-1.0,-1.0,-1.0,-1.0,-1.0,137337.0,52917.0,43987.0,96041.0,-1.0,33574.0,160000.0,85417.0,95953.0,82031.0,43478.0,77273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35119.0,107458.0,-1.0,65600.0,46065.0,24815.0,-1.0,-1.0,97248.0,45809.0,84970.0,-1.0,-1.0,271429.0,-1.0,-1.0,-1.0,68254.0
1969,-1.0,91889.0,-1.0,-1.0,20899.0,-1.0,-1.0,-1.0,-1.0,275163.0,-1.0,43432.0,-1.0,60613.0,-1.0,29355.0,-1.0,42308.0,-1.0,-1.0,92500.0,-1.0,244444.0,-1.0,-1.0,-1.0,23810.0,-1.0,33969.0,-1.0,-1.0,-1.0,169495.0,-1.0,-1.0,84615.0,-1.0,-1.0,-1.0,-1.0,71818.0,-1.0,33043.0,-1.0,109760.0,40000.0,-1.0,62500.0,70465.0,-1.0,-1.0,-1.0,-1.0,-1.0,139960.0,53117.0,20127.0,95431.0,-1.0,28539.0,123214.0,104348.0,102924.0,79397.0,43478.0,104545.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26765.0,104081.0,-1.0,65957.0,21333.0,25263.0,-1.0,-1.0,102212.0,69450.0,56033.0,-1.0,-1.0,214286.0,-1.0,-1.0,-1.0,63534.0
1970,-1.0,88026.0,-1.0,-1.0,26047.0,-1.0,-1.0,-1.0,-1.0,298213.0,-1.0,45636.0,-1.0,67305.0,-1.0,29333.0,-1.0,41176.0,-1.0,-1.0,80000.0,-1.0,243243.0,-1.0,-1.0,-1.0,23810.0,-1.0,31233.0,-1.0,-1.0,-1.0,143354.0,-1.0,-1.0,84615.0,-1.0,-1.0,-1.0,-1.0,76812.0,-1.0,30400.0,-1.0,118448.0,40426.0,-1.0,60000.0,84132.0,-1.0,-1.0,-1.0,-1.0,-1.0,129556.0,53107.0,42516.0,91765.0,-1.0,32249.0,91833.0,120682.0,102058.0,123514.0,43478.0,121429.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29077.0,83934.0,-1.0,66667.0,44769.0,20682.0,-1.0,-1.0,109233.0,54782.0,61673.0,-1.0,-1.0,216667.0,-1.0,-1.0,-1.0,74561.0
1971,-1.0,84766.0,-1.0,-1.0,32440.0,-1.0,-1.0,-1.0,-1.0,319000.0,-1.0,44910.0,-1.0,68205.0,-1.0,29682.0,-1.0,42222.0,-1.0,-1.0,135556.0,-1.0,244444.0,-1.0,-1.0,-1.0,23810.0,-1.0,28516.0,-1.0,-1.0,-1.0,156419.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,73144.0,-1.0,27692.0,-1.0,119180.0,40000.0,-1.0,60000.0,80411.0,-1.0,-1.0,-1.0,-1.0,-1.0,102000.0,53289.0,35556.0,72269.0,-1.0,32943.0,91077.0,103242.0,94388.0,98105.0,43011.0,149545.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30227.0,85136.0,-1.0,69048.0,18488.0,32727.0,-1.0,-1.0,73686.0,56509.0,64386.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,67592.0
1972,-1.0,81651.0,-1.0,-1.0,53282.0,-1.0,-1.0,-1.0,-1.0,322333.0,-1.0,57746.0,-1.0,83360.0,-1.0,29879.0,-1.0,42105.0,-1.0,-1.0,167222.0,-1.0,238095.0,-1.0,-1.0,-1.0,23810.0,-1.0,38230.0,-1.0,-1.0,-1.0,193878.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,-1.0,47158.0,-1.0,37500.0,-1.0,126250.0,40000.0,-1.0,60000.0,77957.0,-1.0,-1.0,-1.0,-1.0,-1.0,111765.0,53331.0,22317.0,86907.0,-1.0,40640.0,85488.0,115591.0,87383.0,63406.0,43011.0,130435.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23008.0,74250.0,-1.0,70000.0,43182.0,26818.0,-1.0,-1.0,89484.0,65258.0,79760.0,-1.0,-1.0,88333.0,-1.0,-1.0,-1.0,80381.0
1973,-1.0,106850.0,-1.0,-1.0,37932.0,-1.0,-1.0,-1.0,-1.0,302683.0,-1.0,52872.0,-1.0,69434.0,-1.0,29788.0,-1.0,42407.0,-1.0,-1.0,135000.0,-1.0,270588.0,-1.0,-1.0,-1.0,47619.0,-1.0,46343.0,-1.0,-1.0,-1.0,222467.0,-1.0,-1.0,71217.0,-1.0,-1.0,-1.0,-1.0,51882.0,-1.0,45455.0,-1.0,108390.0,40426.0,-1.0,40000.0,79462.0,-1.0,-1.0,-1.0,-1.0,-1.0,115378.0,53563.0,36707.0,88604.0,-1.0,45259.0,77455.0,133547.0,57420.0,138296.0,43011.0,184348.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33111.0,83760.0,-1.0,71053.0,5000.0,20889.0,-1.0,-1.0,101846.0,42685.0,62193.0,-1.0,-1.0,103333.0,-1.0,-1.0,-1.0,74251.0
1974,-1.0,102332.0,-1.0,-1.0,45434.0,-1.0,-1.0,-1.0,-1.0,285550.0,-1.0,51854.0,-1.0,73605.0,-1.0,30000.0,-1.0,50776.0,-1.0,-1.0,123636.0,-1.0,242424.0,-1.0,-1.0,-1.0,45238.0,-1.0,36638.0,-1.0,-1.0,-1.0,242961.0,-1.0,-1.0,74556.0,-1.0,-1.0,-1.0,-1.0,51491.0,-1.0,35714.0,-1.0,98731.0,40000.0,-1.0,54667.0,77482.0,-1.0,-1.0,-1.0,-1.0,-1.0,112000.0,53550.0,44356.0,87855.0,-1.0,30419.0,86337.0,125399.0,81386.0,115173.0,43617.0,108696.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28022.0,59838.0,-1.0,72222.0,8850.0,27615.0,-1.0,-1.0,88446.0,52087.0,67576.0,-1.0,-1.0,148333.0,-1.0,-1.0,-1.0,83064.0
