,Kenya,Melanesia,Yemen,Guyana,Cameroon,Saudi Arabia,Malaysia,Philippines,South Sudan,Benin,Jamaica,Pakistan,Iraq,Cyprus,Belize,Bahamas,United States of America,Barbados,Guatemala,Mauritius,United Arab Emirates,Senegal,Jordan,India,Burkina Faso,Fiji,Bahrain,Kuwait,Congo,Qatar,Mexico,Nigeria,Egypt,Puerto Rico,Oman,Côte d'Ivoire,Albania,Lebanon,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Syrian Arab Republic,Sudan,Ghana,Sudan (former),Turkey
1971,-1.0,20.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,110.0,225000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,360.0,160000.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,5000.0
1972,-1.0,20.0,-1.0,-1.0,-1.0,1153.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,419.0,234000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,370.0,160000.0,2250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43000.0,-1.0,5000.0
1973,-1.0,20.0,-1.0,-1.0,-1.0,675.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,299.0,244000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,750.0,160000.0,2300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,-1.0,5000.0
1974,-1.0,20.0,-1.0,-1.0,-1.0,3013.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,549.0,250000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,250.0,165000.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51000.0,-1.0,5300.0
1975,-1.0,20.0,-1.0,-1.0,-1.0,1750.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,798.0,260000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,330.0,165000.0,2600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,-1.0,5800.0
1976,-1.0,20.0,-1.0,-1.0,-1.0,1283.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,609.0,265000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,330.0,175000.0,2900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,5800.0
1977,-1.0,20.0,-1.0,-1.0,-1.0,1705.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,839.0,275000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,330.0,180000.0,3300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22000.0,-1.0,5800.0
1978,-1.0,20.0,-1.0,-1.0,-1.0,636.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,12450.0,114.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,332.0,280000.0,1600.0,20.0,-1.0,-1.0,-1.0,-1.0,500.0,200000.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,6000.0
1979,-1.0,20.0,2829.0,-1.0,-1.0,1492.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,13700.0,114.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,565.0,290000.0,1600.0,20.0,-1.0,-1.0,-1.0,-1.0,1400.0,200000.0,4000.0,-1.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,24000.0,-1.0,6300.0
1980,-1.0,35.0,2721.0,-1.0,-1.0,1632.0,-1.0,-1.0,-1,-1.0,-1.0,5022.0,16000.0,88.0,-1.0,-1.0,-1.0,-1.0,115.0,-1.0,-1.0,-1.0,1487.0,295000.0,1700.0,35.0,-1.0,-1.0,-1.0,-1.0,5126.0,200000.0,4620.0,-1.0,-1.0,-1.0,-1.0,970.0,-1.0,-1.0,-1.0,-1.0,-1.0,20500.0,-1.0,6300.0
1981,-1.0,35.0,2613.0,-1.0,-1.0,970.0,-1.0,-1.0,-1,-1.0,-1.0,4813.0,17050.0,80.0,-1.0,-1.0,-1.0,-1.0,140.0,-1.0,-1.0,-1.0,1048.0,300000.0,1700.0,35.0,-1.0,-1.0,-1.0,-1.0,2480.0,200000.0,4200.0,-1.0,-1.0,-1.0,-1.0,980.0,-1.0,-1.0,-1.0,-1.0,-1.0,8600.0,-1.0,6500.0
1982,-1.0,35.0,2711.0,-1.0,-1.0,1227.0,-1.0,-1.0,-1,-1.0,-1.0,5594.0,19525.0,74.0,-1.0,-1.0,-1.0,-1.0,180.0,-1.0,-1.0,-1.0,1026.0,305000.0,1800.0,35.0,-1.0,-1.0,-1.0,-1.0,4686.0,200000.0,4620.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10900.0,-1.0,6800.0
1983,-1.0,35.0,2982.0,-1.0,-1.0,1951.0,-1.0,-1.0,-1,3135.0,-1.0,6329.0,19025.0,74.0,-1.0,-1.0,-1.0,-1.0,191.0,-1.0,-1.0,-1.0,788.0,315000.0,1800.0,35.0,-1.0,-1.0,-1.0,-1.0,2921.0,200000.0,5040.0,-1.0,-1.0,-1.0,-1.0,1030.0,-1.0,-1.0,-1.0,-1.0,-1.0,14800.0,-1.0,6800.0
1984,-1.0,35.0,1600.0,-1.0,-1.0,2057.0,-1.0,-1.0,-1,3082.0,-1.0,7214.0,19475.0,74.0,-1.0,-1.0,-1.0,-1.0,224.0,-1.0,-1.0,-1.0,733.0,320000.0,2100.0,35.0,-1.0,-1.0,-1.0,39.0,2627.0,210000.0,4620.0,-1.0,-1.0,-1.0,-1.0,1040.0,-1.0,-1.0,-1.0,-1.0,-1.0,26000.0,-1.0,7000.0
1985,-1.0,35.0,1689.0,-1.0,-1.0,3359.0,-1.0,-1.0,-1,3410.0,-1.0,7253.0,21775.0,67.0,-1.0,-1.0,-1.0,-1.0,239.0,-1.0,-1.0,-1.0,1365.0,330000.0,2200.0,35.0,-1.0,-1.0,-1.0,48.0,3605.0,230000.0,4200.0,-1.0,-1.0,-1.0,-1.0,1050.0,-1.0,-1.0,-1.0,-1.0,-1.0,21000.0,-1.0,7300.0
1986,-1.0,65.0,1955.0,-1.0,-1.0,3103.0,-1.0,-1.0,-1,6093.0,-1.0,8225.0,19525.0,74.0,-1.0,-1.0,-1.0,10.0,256.0,-1.0,-1.0,-1.0,694.0,340000.0,2200.0,65.0,-1.0,-1.0,-1.0,30.0,2860.0,250000.0,4620.0,-1.0,-1.0,-1.0,-1.0,1080.0,-1.0,-1.0,-1.0,-1.0,-1.0,30700.0,-1.0,6300.0
1987,-1.0,65.0,2382.0,-1.0,-1.0,5189.0,-1.0,-1.0,-1,6203.0,-1.0,8502.0,24875.0,80.0,-1.0,-1.0,-1.0,12.0,273.0,-1.0,-1.0,-1.0,481.0,346000.0,2300.0,65.0,-1.0,-1.0,-1.0,32.0,4375.0,250000.0,4620.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,-1.0,-1.0,27400.0,-1.0,6800.0
1988,-1.0,65.0,2395.0,-1.0,-1.0,4910.0,-1.0,-1.0,-1,8583.0,-1.0,8417.0,18275.0,80.0,-1.0,-1.0,-1.0,25.0,304.0,-1.0,-1.0,-1.0,514.0,353000.0,2400.0,65.0,-1.0,125.0,-1.0,45.0,4211.0,250000.0,4200.0,-1.0,-1.0,-1.0,-1.0,1130.0,-1.0,-1.0,-1.0,-1.0,-1.0,11200.0,-1.0,6000.0
1989,-1.0,65.0,2410.0,-1.0,-1.0,5440.0,-1.0,-1.0,-1,8358.0,-1.0,9070.0,18900.0,80.0,25.0,-1.0,-1.0,32.0,326.0,-1.0,-1.0,-1.0,456.0,360000.0,2500.0,65.0,-1.0,151.0,-1.0,55.0,2941.0,264000.0,4200.0,-1.0,-1.0,-1.0,-1.0,1150.0,-1.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,6000.0
1990,-1.0,69.0,2388.0,-1.0,14000.0,7738.0,340.0,2368.0,-1,8974.0,300.0,9851.0,18225.0,78.0,3.0,-1.0,0.0,40.0,349.0,65.0,-1.0,-1.0,494.0,365000.0,2600.0,69.0,-1.0,123.0,100.0,48.0,3938.0,260000.0,4620.0,-1.0,-1.0,40000.0,500.0,1200.0,94.0,-1.0,-1.0,-1.0,-1.0,22400.0,6200.0,6112.0
1991,-1.0,65.0,2331.0,-1.0,17000.0,6934.0,240.0,2407.0,-1,9172.0,300.0,10393.0,14850.0,75.0,3.0,-1.0,400.0,65.0,372.0,69.0,-1.0,-1.0,546.0,370000.0,2629.0,65.0,-1.0,5.0,105.0,63.0,4603.0,230815.0,5040.0,-1.0,-1.0,42791.0,400.0,1233.0,135.0,-1.0,-1.0,4735.0,-1.0,23000.0,6200.0,5661.0
1992,378.0,106.0,2457.0,-1.0,19000.0,8664.0,240.0,2443.0,-1,10844.0,300.0,10494.0,18000.0,75.0,6.0,-1.0,420.0,50.0,370.0,74.0,-1.0,-1.0,518.0,375000.0,2636.0,106.0,-1.0,12.0,115.0,103.0,6411.0,238880.0,4880.0,-1.0,-1.0,44000.0,600.0,1231.0,106.0,-1.0,-1.0,3965.0,-1.0,24000.0,6200.0,6035.0
1993,464.0,132.0,2454.0,-1.0,21000.0,8767.0,490.0,2434.0,-1,10000.0,300.0,11090.0,18500.0,70.0,10.0,-1.0,450.0,140.0,377.0,75.0,-1.0,-1.0,1000.0,376000.0,2640.0,132.0,-1.0,36.0,115.0,93.0,2536.0,243617.0,5000.0,-1.0,-1.0,45936.0,700.0,1300.0,198.0,-1.0,-1.0,5442.0,-1.0,25000.0,6200.0,5150.0
1994,614.0,167.0,2414.0,-1.0,22000.0,9732.0,490.0,2738.0,-1,12000.0,300.0,10870.0,18300.0,70.0,10.0,-1.0,550.0,50.0,380.0,84.0,-1.0,-1.0,576.0,300000.0,2643.0,167.0,-1.0,95.0,130.0,90.0,5800.0,252434.0,5100.0,-1.0,-1.0,47009.0,800.0,1400.0,211.0,-1.0,1587.0,5020.0,-1.0,26000.0,7500.0,6400.0
1995,1791.0,180.0,2624.0,-1.0,23000.0,10889.0,490.0,2861.0,-1,7267.0,311.0,11345.0,18500.0,70.0,8.0,-1.0,630.0,70.0,392.0,90.0,-1.0,-1.0,782.0,420000.0,2645.0,180.0,-1.0,185.0,150.0,109.0,4304.0,260335.0,5565.0,-1.0,-1.0,48000.0,800.0,1500.0,261.0,-1.0,1503.0,4254.0,-1.0,27000.0,10000.0,5400.0
1996,485.0,202.0,2985.0,-1.0,24000.0,10602.0,730.0,2842.0,-1,16273.0,369.0,12075.0,18000.0,70.0,1.0,-1.0,850.0,65.0,384.0,96.0,-1.0,-1.0,687.0,380000.0,2645.0,202.0,-1.0,262.0,165.0,172.0,2182.0,265359.0,5388.0,-1.0,-1.0,45357.0,600.0,1672.0,294.0,-1.0,1737.0,3824.0,-1.0,28000.0,12500.0,6100.0
1997,873.0,180.0,2952.0,600.0,27000.0,10880.0,730.0,2939.0,-1,16576.0,300.0,12405.0,18500.0,73.0,1.0,-1.0,871.0,75.0,416.0,95.0,-1.0,-1.0,1011.0,370000.0,2645.0,180.0,-1.0,266.0,185.0,203.0,4448.0,245000.0,5400.0,-1.0,-1.0,41067.0,750.0,900.0,291.0,-1.0,1101.0,4882.0,-1.0,26106.0,16000.0,5876.0
1998,709.0,180.0,3466.0,620.0,30000.0,9500.0,730.0,2414.0,-1,18925.0,306.0,13077.0,19000.0,73.0,1.0,-1.0,950.0,85.0,450.0,110.0,-1.0,-1.0,944.0,320000.0,2647.0,180.0,-1.0,270.0,200.0,150.0,5848.0,255000.0,5500.0,-1.0,-1.0,52000.0,750.0,400.0,276.0,-1.0,1149.0,6704.0,-1.0,23185.0,19000.0,5684.0
1999,696.0,182.0,3535.0,630.0,18755.0,6660.0,970.0,2729.0,-1,17595.0,392.0,13447.0,15935.0,73.0,7.0,-1.0,1130.0,95.0,590.0,130.0,807.0,-1.0,587.0,330000.0,2768.0,182.0,-1.0,200.0,215.0,159.0,4470.0,275000.0,6450.0,-1.0,-1.0,40201.0,740.0,300.0,307.0,-1.0,1109.0,3460.0,-1.0,20885.0,21000.0,5604.0
2000,687.0,170.0,3602.0,1300.0,18602.0,6568.0,970.0,2907.0,-1,19509.0,349.0,13148.0,16000.0,73.0,25.0,-1.0,1170.0,100.0,770.0,130.0,184.0,3438.0,1003.0,350000.0,2636.0,170.0,-1.0,220.0,230.0,163.0,6765.0,291266.0,6000.0,-1.0,-1.0,39600.0,780.0,335.0,388.0,-1.0,890.0,3842.0,-1.0,18000.0,25000.0,6800.0
2001,814.0,175.0,3698.0,600.0,28230.0,5682.0,970.0,2972.0,-1,18887.0,326.0,12884.0,15500.0,73.0,23.0,-1.0,1220.0,105.0,800.0,140.0,124.0,2392.0,488.0,350000.0,2616.0,175.0,-1.0,215.0,250.0,61.0,3159.0,299780.0,6072.0,-1.0,-1.0,56000.0,790.0,293.0,390.0,-1.0,926.0,4500.0,-1.0,17446.0,27000.0,6100.0
2002,671.0,176.0,3751.0,590.0,32990.0,5203.0,1210.0,3024.0,-1,23095.0,301.0,13443.0,16500.0,73.0,25.0,-1.0,1200.0,115.0,807.0,145.0,155.0,2521.0,817.0,350000.0,2617.0,176.0,-1.0,227.0,265.0,61.0,5303.0,285000.0,6360.0,-1.0,-1.0,57000.0,780.0,1045.0,420.0,-1.0,958.0,3700.0,-1.0,16803.0,23000.0,6513.0
2003,794.0,176.0,3819.0,540.0,38553.0,5024.0,1210.0,3018.0,-1,23559.0,338.0,12921.0,16500.0,93.0,15.0,-1.0,1275.0,131.0,808.0,146.0,178.0,4617.0,536.0,370000.0,2622.0,176.0,-1.0,235.0,290.0,70.0,3004.0,300000.0,6690.0,60.0,-1.0,40000.0,700.0,1468.0,453.0,-1.0,816.0,5700.0,-1.0,16262.0,23529.0,7100.0
2004,800.0,176.0,3015.0,490.0,45054.0,4343.0,1210.0,3121.0,-1,21035.0,278.0,13833.0,21750.0,83.0,10.0,-1.0,1346.0,50.0,812.0,150.0,180.0,4689.0,620.0,353100.0,2627.0,176.0,-1.0,220.0,320.0,65.0,3695.0,330000.0,7060.0,60.0,397.0,41000.0,600.0,1260.0,518.0,-1.0,882.0,5800.0,-1.0,15857.0,25210.0,8600.0
2005,863.0,177.0,3067.0,460.0,17445.0,4019.0,1450.0,3138.0,-1,17897.0,321.0,14384.0,19500.0,84.0,5.0,-1.0,1250.0,45.0,820.0,152.0,937.0,1945.0,879.0,357300.0,2650.0,177.0,29.0,173.0,322.0,70.0,2614.0,350000.0,7070.0,41.0,241.0,42300.0,700.0,1300.0,474.0,-1.0,815.0,4700.0,-1.0,18996.0,24373.0,7100.0
2006,834.0,180.0,3203.0,340.0,19447.0,4400.0,1450.0,3211.0,-1,17432.0,404.0,14780.0,25750.0,88.0,13.0,-1.0,1274.0,47.0,830.0,164.0,95.0,2533.0,965.0,391800.0,2600.0,180.0,58.0,330.0,329.0,89.0,4561.0,370000.0,6970.0,52.0,219.0,43000.0,700.0,1047.0,446.0,-1.0,819.0,6860.0,-1.0,19000.0,23529.0,7299.0
2007,548.0,190.0,3480.0,538.0,15019.0,4200.0,1450.0,3287.0,-1,14197.0,369.0,14996.0,22400.0,88.0,6.0,-1.0,1300.0,59.0,850.0,177.0,73.0,1005.0,879.0,396000.0,2700.0,190.0,35.0,330.0,315.0,126.0,3106.0,430000.0,7540.0,45.0,286.0,45000.0,800.0,1238.0,429.0,483.0,589.0,5430.0,-1.0,19500.0,20882.0,7241.0
2008,800.0,175.0,3580.0,555.0,15402.0,3834.0,1527.0,3488.0,-1,13658.0,385.0,15081.0,20150.0,87.0,11.0,-1.0,1309.0,38.0,870.0,158.0,46.0,1842.0,962.0,407000.0,2749.0,175.0,31.0,330.0,320.0,130.0,4277.0,387000.0,7200.0,54.0,320.0,46000.0,747.0,1240.0,430.0,701.0,567.0,6300.0,-1.0,6412.0,20328.0,7200.0
2009,392.0,171.0,3718.0,700.0,18622.0,4446.0,1702.0,3555.0,-1,12945.0,474.0,15179.0,20257.0,87.0,10.0,-1.0,1278.0,21.0,902.0,174.0,75.0,1853.0,1273.0,432000.0,2780.0,171.0,28.0,341.0,386.0,76.0,3546.0,390000.0,9325.0,55.0,174.0,48000.0,706.0,1070.0,452.0,569.0,578.0,5124.0,-1.0,2400.0,20916.0,7300.0
2010,383.0,165.0,3800.0,1000.0,24004.0,4430.0,2295.0,3571.0,-1,13357.0,480.0,14148.0,19534.0,100.0,11.0,19.0,1275.0,26.0,937.0,210.0,82.0,531.0,1043.0,452000.0,2847.0,165.0,36.0,373.0,414.0,90.0,2394.0,397290.0,6885.0,57.0,247.0,47000.0,726.0,492.0,472.0,368.0,392.0,4724.0,-1.0,2600.0,21504.0,6900.0
2011,401.0,160.0,3240.0,300.0,32020.0,4004.0,2350.0,3497.0,-1,13551.0,559.0,13919.0,19859.0,99.0,27.0,19.0,1279.0,26.0,974.0,153.0,88.0,587.0,686.0,498000.0,2912.0,160.0,36.0,319.0,443.0,75.0,3020.0,965680.0,6725.0,58.0,270.0,49000.0,714.0,178.0,472.0,623.0,453.0,4234.0,-1.0,2800.0,21504.0,6800.0
2012,495.0,135.0,3750.0,400.0,29447.0,3680.0,2157.0,3568.0,-1,17780.0,634.0,14461.0,17620.0,91.0,8.0,19.0,1284.0,22.0,1000.0,155.0,96.0,893.0,1280.0,518000.0,3000.0,135.0,35.0,262.0,500.0,64.0,3031.0,1060200.0,6957.0,70.0,250.0,50000.0,725.0,739.0,479.0,521.0,507.0,3296.0,22092.0,3000.0,-1.0,6750.0
2013,449.0,159.0,3870.0,500.0,29722.0,3040.0,2703.0,3587.0,-1,13821.0,661.0,14147.0,18361.0,88.0,9.0,19.0,1288.0,19.0,1015.0,181.0,86.0,893.0,937.0,530790.0,2900.0,159.0,35.0,196.0,505.0,55.0,1483.0,1089800.0,5769.0,59.0,357.0,50000.0,718.0,764.0,485.0,402.0,510.0,2371.0,22114.0,3100.0,-1.0,6290.0
2014,700.0,172.0,3914.0,537.0,29967.0,2171.0,3120.0,3648.0,-1,14397.0,606.0,14855.0,16695.0,80.0,11.0,19.0,1292.0,22.0,1000.0,217.0,92.0,1360.0,1169.0,532660.0,2957.0,172.0,34.0,198.0,524.0,61.0,2932.0,1095400.0,4747.0,59.0,419.0,50861.0,723.0,765.0,492.0,367.0,492.0,3206.0,28300.0,3160.0,-1.0,6020.0
